Item Code,Item Name,Item Group Name,Service Type,UOM,Price
100018,SHORT,Gent & Ladies,Washing & Pressing,PCS,3.00
100043,SILK BLOUSE,Gent & Ladies,Dry Cleaning,PCS,7.00
100043,SILK BLOUSE,Gent & Ladies,Pressing Only,PCS,4.00
100044,SKIRT L/S,Gent & Ladies,Dry Cleaning,PCS,8.00
100044,SKIRT L/S,Gent & Ladies,Pressing Only,PCS,4.00
100044,SKIRT L/S,Gent & Ladies,Washing & Pressing,PCS,6.00
100020,SOCKS,Gent & Ladies,Dry Cleaning,PCS,2.00
100020,SOCKS,Gent & Ladies,Washing & Pressing,PCS,2.00
100197,SUIT MALE/FEMALE,Gent & Ladies,Dry Cleaning,PCS,20.00
100197,SUIT MALE/FEMALE,Gent & Ladies,Pressing Only,PCS,10.00
100197,SUIT MALE/FEMALE,Gent & Ladies,Washing & Pressing,PCS,13.00
100071,SWEATER,Gent & Ladies,Dry Cleaning,PCS,8.00
100071,SWEATER,Gent & Ladies,Pressing Only,PCS,4.00
100071,SWEATER,Gent & Ladies,Washing & Pressing,PCS,6.00
100024,T SHIRT,Gent & Ladies,Dry Cleaning,PCS,5.00
100024,T SHIRT,Gent & Ladies,Pressing Only,PCS,2.00
100024,T SHIRT,Gent & Ladies,Washing & Pressing,PCS,4.00
100023,TIE,Gent & Ladies,Dry Cleaning,PCS,5.00
100023,TIE,Gent & Ladies,Pressing Only,PCS,2.00
100023,TIE,Gent & Ladies,Washing & Pressing,PCS,3.00
100002,TROUSER,Gent & Ladies,Dry Cleaning,PCS,8.00
100002,TROUSER,Gent & Ladies,Pressing Only,PCS,3.00
100002,TROUSER,Gent & Ladies,Washing & Pressing,PCS,6.00
100037,UNDERPANT,Gent & Ladies,Dry Cleaning,PCS,2.00
100037,UNDERPANT,Gent & Ladies,Pressing Only,PCS,1.00
100037,UNDERPANT,Gent & Ladies,Washing & Pressing,PCS,2.00
100025,UNDERSHIRT,Gent & Ladies,Dry Cleaning,PCS,2.00
100025,UNDERSHIRT,Gent & Ladies,Pressing Only,PCS,1.00
100025,UNDERSHIRT,Gent & Ladies,Washing & Pressing,PCS,2.00
100070,WAISTCOAT,Gent & Ladies,Dry Cleaning,PCS,6.00
100070,WAISTCOAT,Gent & Ladies,Pressing Only,PCS,3.00
100070,WAISTCOAT,Gent & Ladies,Washing & Pressing,PCS,5.00
100200,WEDDING DRESS,Gent & Ladies,Dry Cleaning,PCS,0.00
100200,WEDDING DRESS,Gent & Ladies,Pressing Only,PCS,0.00
100200,WEDDING DRESS,Gent & Ladies,Washing & Pressing,PCS,0.00
100130,WINTER JACKET,Gent & Ladies,Dry Cleaning,PCS,20.00
100130,WINTER JACKET,Gent & Ladies,Pressing Only,PCS,8.00
100130,WINTER JACKET,Gent & Ladies,Washing & Pressing,PCS,15.00
100201,WINTER JACKET WITH HOOD,Gent & Ladies,Dry Cleaning,PCS,25.00
100201,WINTER JACKET WITH HOOD,Gent & Ladies,Pressing Only,PCS,10.00
100201,WINTER JACKET WITH HOOD,Gent & Ladies,Washing & Pressing,PCS,20.00
100166,BACKPACK (MEDIUM),Household,Dry Cleaning,PCS,10.00
100167,BACKPACK (SMALL),Household,Dry Cleaning,PCS,6.00
100080,BATH MAT,Household,Washing & Pressing,PCS,5.00
100125,BATH TOWEL,Household,Washing & Pressing,PCS,5.00
100010,BED COVER DOUBLE,Household,Dry Cleaning,PCS,15.00
100010,BED COVER DOUBLE,Household,Pressing Only,PCS,8.00
100010,BED COVER DOUBLE,Household,Washing & Pressing,PCS,12.00
100059,BED COVER SINGLE,Household,Dry Cleaning,PCS,12.00
100059,BED COVER SINGLE,Household,Pressing Only,PCS,6.00
100059,BED COVER SINGLE,Household,Washing & Pressing,PCS,10.00
100052,BED SHEET (DOUBLE),Household,Dry Cleaning,PCS,8.00
100052,BED SHEET (DOUBLE),Household,Pressing Only,PCS,4.00
100052,BED SHEET (DOUBLE),Household,Washing & Pressing,PCS,6.00
100060,BED SHEET (SINGLE),Household,Dry Cleaning,PCS,6.00
100060,BED SHEET (SINGLE),Household,Pressing Only,PCS,3.00
100060,BED SHEET (SINGLE),Household,Washing & Pressing,PCS,5.00
100057,BLACK OUT CURTAIN LARGE,Household,Washing & Pressing,PCS,15.00
100061,BLACK OUT CURTAIN SMALL,Household,Washing & Pressing,PCS,10.00
100011,BLANKET DOUBLE,Household,Dry Cleaning,PCS,18.00
100011,BLANKET DOUBLE,Household,Washing & Pressing,PCS,15.00
100062,BLANKET SINGLE,Household,Dry Cleaning,PCS,15.00
100062,BLANKET SINGLE,Household,Washing & Pressing,PCS,10.00
100169,CAR COVER,Household,Washing & Pressing,PCS,40.00
100208,CARPET,Household,Washing & Pressing,SQM,10.00
100087,COMFORTER (DOUBLE),Household,Dry Cleaning,PCS,20.00
100087,COMFORTER (DOUBLE),Household,Washing & Pressing,PCS,15.00
100088,COMFORTER (SINGLE),Household,Dry Cleaning,PCS,12.00
100088,COMFORTER (SINGLE),Household,Washing & Pressing,PCS,10.00
100180,CURTAIN (BLACKOUT) XL,Household,Dry Cleaning,PCS,40.00
100055,CURTAIN LARGE,Household,Dry Cleaning,PCS,25.00
100055,CURTAIN LARGE,Household,Washing & Pressing,PCS,20.00
100063,CURTAIN SMALL,Household,Dry Cleaning,PCS,20.00
100063,CURTAIN SMALL,Household,Pressing Only,PCS,8.00
100063,CURTAIN SMALL,Household,Washing & Pressing,PCS,15.00
100205,CURTAIN XL,Household,Dry Cleaning,PCS,40.00
100205,CURTAIN XL,Household,Washing & Pressing,PCS,30.00
100089,CUSHION COVER (LARGE),Household,Dry Cleaning,PCS,12.00
100089,CUSHION COVER (LARGE),Household,Washing & Pressing,PCS,8.00
100138,CUSHION COVER (SMALL),Household,Dry Cleaning,PCS,5.00
100138,CUSHION COVER (SMALL),Household,Washing & Pressing,PCS,4.00
100181,DOOR MAT,Household,Washing & Pressing,PCS,8.00
100139,DUVET FEATHER,Household,Dry Cleaning,PCS,40.00
100139,DUVET FEATHER,Household,Washing & Pressing,PCS,35.00
100140,DUVET WITH DESIGN,Household,Dry Cleaning,PCS,40.00
100140,DUVET WITH DESIGN,Household,Washing & Pressing,PCS,35.00
100095,HAND TOWEL,Household,Washing & Pressing,PCS,3.00
100186,MAT (BIG),Household,Dry Cleaning,PCS,12.00
100187,MATTRESS COVER (DOUBLE),Household,Dry Cleaning,PCS,15.00
100188,MATTRESS PROTECTOR,Household,Dry Cleaning,PCS,10.00
100188,MATTRESS PROTECTOR,Household,Washing & Pressing,PCS,10.00
100126,NAPKIN,Household,Dry Cleaning,PCS,5.00
100126,NAPKIN,Household,Washing & Pressing,PCS,3.00
